,corp_name
0,3S
1,AJ네트웍스
2,AK홀딩스
3,APS홀딩스
4,AP시스템
5,AP위성
6,BGF
7,BGF리테일
8,BNK금융지주
9,BYC
10,BYC우
11,CJ
12,CJ CGV
13,CJ ENM
14,CJ4우(전환)
15,CJ대한통운
16,CJ씨푸드
17,CJ씨푸드1우
18,CJ우
19,CJ제일제당
20,CJ제일제당 우
21,CJ프레시웨이
22,CMG제약
23,CNH
24,COWON
25,CS
26,CSA 코스믹
27,CS홀딩스
28,DB
29,DB금융스팩8호
30,DB금융스팩9호
31,DB금융투자
32,DB손해보험
33,DB하이텍
34,DB하이텍1우
35,DGB금융지주
36,DI동일
37,DL
38,DL건설
39,DL우
40,DL이앤씨
41,DL이앤씨우
42,DMS
43,DRB동일
44,DSC인베스트먼트
45,DSR
46,DSR제강
47,E1
48,EDGC
49,EG
50,EMB
51,EMW
52,ESR켄달스퀘어리츠
53,ES큐브
54,F&F
55,GH신소재
56,GKL
57,GRT
58,GS
59,GST
60,GS건설
61,GS글로벌
62,GS리테일
63,GS우
64,GS홈쇼핑
65,GV
66,HB테크놀러지
67,HDC
68,HDC아이콘트롤스
69,HDC현대EP
70,HDC현대산업개발
71,HMM
72,HRS
73,HSD엔진
74,IBKS제12호스팩
75,IBKS제13호스팩
76,IBKS제14호스팩
77,IBKS제15호스팩
78,IHQ
79,ISC
80,ITX-AI
81,JB금융지주
82,JTC
83,JW생명과학
84,JW신약
85,JW중외제약
86,JW중외제약2우B
87,JW중외제약우
88,JW홀딩스
89,JYP Ent.
90,KBI메탈
91,KB금융
92,KB오토시스
93,KCC
94,KCC건설
95,KCI
96,KCTC
97,KC그린홀딩스
98,KC산업
99,KC코트렐
100,KD
101,KEC
102,KG ETS
103,KG동부제철
104,KG동부제철우
105,KG모빌리언스
106,KG이니시스
107,KG케미칼
108,KH E&T
109,KH 일렉트론
110,KH 필룩스
111,KH바텍
112,KISCO홀딩스
113,KMH
114,KMH하이텍
115,KNN
116,KPX생명과학
117,KPX케미칼
118,KPX홀딩스
119,KR모터스
120,KSS해운
121,KT
122,KT&G
123,KTB투자증권
124,KTH
125,KTcs
126,KTis
127,KT서브마린
128,LF
129,LG
130,LG디스플레이
131,LG상사
132,LG생활건강
133,LG생활건강우
134,LG우
135,LG유플러스
136,LG이노텍
137,LG전자
138,LG전자우
139,LG하우시스
140,LG하우시스우
141,LG헬로비전
142,LG화학
143,LG화학우
144,LIG넥스원
145,LS
146,LS ELECTRIC
147,LS네트웍스
148,LS전선아시아
149,MH에탄올
150,MP그룹
151,NAVER
152,NEW
153,NE능률
154,NHN
155,NHN벅스
156,NHN한국사이버결제
157,NH투자증권
158,NH투자증권우
159,NH프라임리츠
160,NICE
161,NICE평가정보
162,NI스틸
163,NPC
164,NPC우
165,OCI
166,OQP
167,PI첨단소재
168,PN풍년
169,POSCO
170,RFHIC
171,RF머트리얼즈
172,S&K폴리텍
173,S-Oil
174,S-Oil우
175,SBI인베스트먼트
176,SBI핀테크솔루션즈
177,SBS
178,SBS미디어홀딩스
179,SBS콘텐츠허브
180,SCI평가정보
181,SDN
182,SFA반도체
183,SG
184,SG&G
185,SGA
186,SGA솔루션즈
187,SGA클라우드서비스
188,SGC에너지
189,SGC이테크건설
190,SG글로벌
191,SG세계물산
192,SH에너지화학
193,SIMPAC
194,SJM
195,SJM홀딩스
196,SK
197,SK4호스팩
198,SK5호스팩
199,SK6호스팩
200,SKC
201,SK가스
202,SK네트웍스
203,SK네트웍스우
204,SK디스커버리
205,SK디스커버리우
206,SK디앤디
207,SK렌터카
208,SK머티리얼즈
209,SK바이오사이언스
210,SK바이오팜
211,SK우
212,SK이노베이션
213,SK이노베이션우
214,SK증권
215,SK증권우
216,SK케미칼
217,SK케미칼우
218,SK텔레콤
